name,logrank_p_value,FDR,Bonferroni
C19orf53,0.0027115645036049846,0.046874883096395474,1.0
CDK9,0.6360526985668434,1.0,1.0
APOL5,0.22689596631801776,0.6170637524510526,1.0
FCGR3B,0.5345348149932072,1.0,1.0
CTSE,0.06008702164619163,0.2800480008021661,1.0
EFNA1,0.0262535634218098,0.17262437763393382,1.0
C19orf54,0.28273471089578894,0.7001206638244505,1.0
CDKAL1,0.55181318920514,1.0,1.0
APOL6,0.06801623256783076,0.30110223445869705,1.0
FCGRT,0.2964256311104686,0.7194505611090405,1.0
CTSF,0.956423462999088,1.0,1.0
EFNA2,0.9172966312123656,1.0,1.0
C19orf57,0.3645281038315411,0.812251995867561,1.0
CDKL1,0.5238143709350762,0.9896505828623603,1.0
APOLD1,0.05194781417652721,0.2565300145969277,1.0
FCHO1,0.29709770851858774,0.7204851581835212,1.0
CTSG,0.2891625604694874,0.7086192382080061,1.0
EFNA3,0.002584462098692392,0.04581862242171055,1.0
C19orf60,0.34807196197260715,0.7916625291323945,1.0
CDKL2,0.471372516435403,0.935467428762114,1.0
APOM,0.9059705129781961,1.0,1.0
FCHO2,0.2706663642571002,0.6812304742235933,1.0
CTSH,0.6336525797417198,1.0,1.0
EFNA4,0.0002919481752068278,0.016222540452364032,1.0
C19orf66,0.8321837973436028,1.0,1.0
CDKL3,0.23608596765231943,0.6306782609284239,1.0
APOO,0.11651217430302706,0.41327066007441216,1.0
CDKL4,1.0,1.0,1.0
FCHSD1,0.1994479061900365,0.5709642718712059,1.0
CTSK,0.38405788259729534,0.835169973037396,1.0
EFNA5,0.13734414504451214,0.4564296480567184,1.0
C19orf67,0.6852257645351247,1.0,1.0
APOOL,0.5428251305526368,1.0,1.0
CDKL5,0.7078596845350316,1.0,1.0
FCHSD2,0.6496838978252977,1.0,1.0
CTSL,0.06476857651810206,0.2916186062583146,1.0
EFNB1,0.09106270246722722,0.3574634471709424,1.0
C19orf68,0.14302614033882838,0.46751195308056137,1.0
APOOP5,0.2671482009736677,0.6766754128064302,1.0
CDKN1A,0.15690175137479248,0.4950446359606537,1.0
FCMR,0.24091248097562634,0.6379513399053426,1.0
CTSL3P,0.23807605025528383,0.6333648856125844,1.0
EFNB2,0.2219376162117983,0.6081556368201142,1.0
C19orf70,0.7939988111018335,1.0,1.0
APOPT1,0.0011337368675275016,0.030674849810641534,1.0
CDKN1B,0.68084148829085,1.0,1.0
FCN1,0.8203006698473455,1.0,1.0
CTSLP2,0.29334073772624536,0.7146590932045025,1.0
CTSLP8,1.0,1.0,1.0
C19orf71,0.3310984447269116,0.7671828697317459,1.0
EFNB3,0.15142549417958232,0.48472327829843237,1.0
APP,0.8954054942350098,1.0,1.0
CDKN1C,0.6588604266449094,1.0,1.0
FCN2,0.32800460283228716,0.7625635700548475,1.0
CTSO,0.08337769089756362,0.3396916580506144,1.0
C19orf73,0.03923183856341177,0.21806487595929253,1.0
EFR3A,0.8153627149505633,1.0,1.0
APPBP2,0.06281519220539855,0.28644161977154947,1.0
CDKN2A,0.00828144464216395,0.08762424983805095,1.0
FCN3,0.05017541605256938,0.25150684622334707,1.0
CDKN2A-AS1,1.0,1.0,1.0
CTSS,0.6172644124512611,1.0,1.0
C19orf80,0.9793943580581823,1.0,1.0
EFR3B,0.027157800718103687,0.17634341329558398,1.0
C19orf81,1.0,1.0,1.0
APPL1,0.01899328161550558,0.14278790795583848,1.0
FCRL1,0.05199248541183686,0.25665452192444915,1.0
CDKN2AIP,0.4154036071791064,0.873585725054418,1.0
CTSV,0.0025279619830757202,0.04530133681498282,1.0
EFS,0.25040574130119236,0.6527032012455317,1.0
C19orf84,0.2635219560629089,0.6715978360486462,1.0
APPL2,0.23492484783431056,0.6288500746696207,1.0
FCRL2,0.07091183859188864,0.3085869848324022,1.0
CDKN2AIPNL,0.0032677065537544334,0.05171091714939529,1.0
CTSW,0.14438389044298036,0.47046035448194445,1.0
EFTUD1,0.9010834452226556,1.0,1.0
C1D,0.07101914556902413,0.3088465287193719,1.0
APRT,0.0029659460457043033,0.04896223822633262,1.0
FCRL3,0.047119490797343684,0.24258259548483702,1.0
CDKN2B,0.1247129849179658,0.4305574623198265,1.0
FCRL4,1.0,1.0,1.0
CTSZ,0.2211511936791214,0.6068201049776599,1.0
C1GALT1,0.010706070289947935,0.1027377716438074,1.0
EFTUD1P1,0.6856031782825561,1.0,1.0
APTR,0.6011181383449968,1.0,1.0
CDKN2B-AS1,0.0014131995424848808,0.034300955121926206,1.0
FCRL5,0.025473999797078727,0.16927055784557601,1.0
CTTN,0.022354120454409963,0.15691902543569314,1.0
C1GALT1C1,0.27248793634041407,0.6836169054360555,1.0
EFTUD2,0.00012490167126301885,0.011351251622561839,1.0
APTX,0.1409745411229595,0.4636464773499155,1.0
CDKN2C,0.0016462972046629252,0.03696816568062114,1.0
FCRL6,0.07232551579555556,0.3126756975887833,1.0
CTTNBP2,0.6669929833307638,1.0,1.0
C1GALT1C1L,0.22003460717816153,0.6060088687088899,1.0
EGF,0.04231510740357831,0.22803627987031233,1.0
C1orf100,1.0,1.0,1.0
EGFEM1P,1.0,1.0,1.0
AQP1,0.05881863687154868,0.27697887195134846,1.0
CDKN2D,0.0006168917263181397,0.022760950412181416,1.0
FCRLA,0.27399333856793384,0.6859584579502794,1.0
CTTNBP2NL,0.5744046555146611,1.0,1.0
EGFL6,0.18415683074869316,0.544320133910423,1.0
C1orf101,0.0027910840036699607,0.04734999998146878,1.0
AQP10,0.10226737970610507,0.3827692551315015,1.0
CDKN3,0.03561294860518837,0.20595525840669887,1.0
FCRLB,0.08636096289230993,0.3471281732590486,1.0
CTU1,0.07995645093518314,0.331384858394243,1.0
C1orf105,0.13620497792450897,0.4545342778140588,1.0
EGFL7,0.7108812961310065,1.0,1.0
AQP11,0.8629096909613843,1.0,1.0
